,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
,SG_GC4580,IPGARDENDCAP,,"AIR|SHIELD End Cap - Sun Lounger | Grade 150mu | Application: Garden Furniture
MOQ 1 Pallet | 12CTN/pallet | 2400pcs/pallet | 200pcs/CTN",,AIR|SHIELD™,Manual,150,Active,,1.3,,,,200,12,1,,,,,,,,,,,,,,,
,SG_GC4813,,,Vendor machine selector end cap With inner support,,AIR|SHIELD™,,,Archived,0.92,1.59,,,,,,,,,,,,,,,,,,,,,
,SG_GC4980, IPENDCAPPP,,"AIR|SHIELD End Cap | Application: White Boards | 2pcs/set | 60pcs/ctn | 
36ctns/pallet | 2160pcs/pallet",,AIR|SHIELD™,Manual,,Active,,1.42,,,,60,36,,,,,,,,,,,,,,,,
,SG18DEFA,,,"AIR|SHIELD NoteBook Large (18"") | Grade 120um | 250pcs/CTN",,AIR|SHIELD™,Manual,120,Active,,,,,,250,,,,,,,,,,,,,,,,,
,SG32LCDDEFA,IP32LCDTV,,"AIR|SHIELD 32"" LCD End Cap",,AIR|SHIELD™,Manual,,Active,1.2163,,1.0577,,,,,,,,,,,,,,,,,,,,
,SG32LCDDEFA120,IP32LCDTV,,"AIR|SHIELD 32"" LCD End Cap ",,AIR|SHIELD™,Manual,,Active,0.745,,1.0577,,,120,,,,,,,,,,,,,,,,,
,SG40LCDDEFA,IP40LCDTV,,"AIR|SHEILD 40"" LCD End Cap",,AIR|SHIELD™,Manual,,Active,1.6534,,1.4378,,,,,,,,,,,,,,,,,,,,
,SG46LCDDEFA,IP46LCDTV,,"AIR|SHIELD 46"" LCD End Cap ",,AIR|SHIELD™,Manual,,Active,2.0756,,1.8049,,,,,,,,,,,,,,,,,,,,
,SG55LCDDEFA,IP55LCDTV,,"AIR|SHIELD 55"" LCD TV End Cap",,AIR|SHIELD™,Manual,200,Active,2.2565,,1.9622,,,,,,,,,,,,,,,,,,,,
,SG60LCDDEFA,IP60LCDTV,,"AIR|SHIELD 60"" LCD End Cap TV ",,AIR|SHIELD™,Manual,200,Active,3.2965,,2.8666,,,60,,,,,,,,,,,,,,,,,
